,pokedex_number,generation,name,description,sound_name,image_name
77,78,1,Rapidash,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",rapidash,rapidash
78,79,1,Slowpoke,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either.",slowpoke,slowpoke
79,80,1,Slowbro,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.,slowbro,slowbro
80,81,1,Magnemite,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again.",magnemite,magnemite
81,82,1,Magneton,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.,magneton,magneton
82,83,1,Farfetch'd,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.",farfetchd,farfetchd
83,84,1,Doduo,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",doduo,doduo
84,85,1,Dodrio,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,dodrio,dodrio
85,86,1,Seel,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,seel,seel
86,87,1,Dewgong,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.",dewgong,dewgong
87,88,1,Grimer,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.,grimer,grimer
88,89,1,Muk,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell.",muk,muk
89,90,1,Shellder,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.,shellder,shellder
90,91,1,Cloyster,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking.",cloyster,cloyster
91,92,1,Gastly,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.",gastly,gastly
92,93,1,Haunter,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.",haunter,haunter
93,94,1,Gengar,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing.",gengar,gengar
94,95,1,Onix,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.",onix,onix
95,96,1,Drowzee,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.",drowzee,drowzee
96,97,1,Hypno,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.,hypno,hypno
97,98,1,Krabby,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,krabby,krabby
98,99,1,Kingler,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",kingler,kingler
99,100,1,Voltorb,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.,voltorb,voltorb
100,101,1,Electrode,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.,electrode,electrode
101,102,1,Exeggcute,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",exeggcute,exeggcute
102,103,1,Exeggutor,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,exeggutor,exeggutor
103,104,1,Cubone,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.",cubone,cubone
104,105,1,Marowak,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.",marowak,marowak
105,106,1,Hitmonlee,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,hitmonlee,hitmonlee
106,107,1,Hitmonchan,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.",hitmonchan,hitmonchan
107,108,1,Lickitung,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.",lickitung,lickitung
108,109,1,Koffing,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",koffing,koffing
109,110,1,Weezing,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.,weezing,weezing
110,111,1,Rhyhorn,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.",rhyhorn,rhyhorn
111,112,1,Rhydon,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,rhydon,rhydon
112,113,1,Chansey,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.,chansey,chansey
113,114,1,Tangela,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",tangela,tangela
114,115,1,Kangaskhan,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.",kangaskhan,kangaskhan
115,116,1,Horsea,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.",horsea,horsea
116,117,1,Seadra,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.",seadra,seadra
117,118,1,Goldeen,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.",goldeen,goldeen
118,119,1,Seaking,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.",seaking,seaking
119,120,1,Staryu,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.",staryu,staryu
120,121,1,Starmie,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,starmie,starmie
121,122,1,Mr. Mime,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.,mrmime,mrmime
122,123,1,Scyther,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree.",scyther,scyther
123,124,1,Jynx,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.",jynx,jynx
124,125,1,Electabuzz,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,electabuzz,electabuzz
125,126,1,Magmar,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,magmar,magmar
126,127,1,Pinsir,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",pinsir,pinsir
127,128,1,Tauros,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",tauros,tauros
128,129,1,Magikarp,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.,magikarp,magikarp
129,130,1,Gyarados,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.,gyarados,gyarados
130,131,1,Lapras,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",lapras,lapras
131,132,1,Ditto,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.",ditto,ditto
132,133,1,Eevee,It has the ability to alter the composition of its body to suit its surrounding environment.,eevee,eevee
133,134,1,Vaporeon,"When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours.",vaporeon,vaporeon
134,135,1,Jolteon,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.",jolteon,jolteon
135,136,1,Flareon,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit.",flareon,flareon
136,137,1,Porygon,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,porygon,porygon
137,138,1,Omanyte,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.",omanyte,omanyte
138,139,1,Omastar,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.",omastar,omastar
139,140,1,Kabuto,"This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.",kabuto,kabuto
140,141,1,Kabutops,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.,kabutops,kabutops
141,142,1,Aerodactyl,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,aerodactyl,aerodactyl
142,143,1,Snorlax,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",snorlax,snorlax
143,144,1,Articuno,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",articuno,articuno
144,145,1,Zapdos,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,zapdos,zapdos
145,146,1,Moltres,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",moltres,moltres
146,147,1,Dratini,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.",dratini,dratini
147,148,1,Dragonair,"This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.",dragonair,dragonair
148,149,1,Dragonite,"It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.",dragonite,dragonite
149,150,1,Mewtwo,"Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different.",mewtwo,mewtwo
150,151,1,Mew,"When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen.",mew,mew
151,152,2,Chikorita,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",chikorita,chikorita
152,153,2,Bayleef,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,bayleef,bayleef
153,154,2,Meganium,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",meganium,meganium
154,155,2,Cyndaquil,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",cyndaquil,cyndaquil
155,156,2,Quilava,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,quilava,quilava
156,157,2,Typhlosion,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,typhlosion,typhlosion
157,158,2,Totodile,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",totodile,totodile
158,159,2,Croconaw,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",croconaw,croconaw
159,160,2,Feraligatr,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",feraligatr,feraligatr
160,161,2,Sentret,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",sentret,sentret
161,162,2,Furret,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",furret,furret
162,163,2,Hoothoot,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",hoothoot,hoothoot
163,164,2,Noctowl,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.,noctowl,noctowl
164,165,2,Ledyba,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively.",ledyba,ledyba
165,166,2,Ledian,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear.",ledian,ledian
166,167,2,Spinarak,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them.",spinarak,spinarak
167,168,2,Ariados,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs.",ariados,ariados
168,169,2,Crobat,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck.",crobat,crobat
169,170,2,Chinchou,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them.",chinchou,chinchou
170,171,2,Lanturn,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.,lanturn,lanturn
171,172,2,Pichu,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself.",pichu,pichu
172,173,2,Cleffa,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen.",cleffa,cleffa
173,174,2,Igglybuff,Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.,igglybuff,igglybuff
174,175,2,Togepi,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,togepi,togepi
175,176,2,Togetic,"They say that it will appear before kindhearted, caring people and shower them with happiness.",togetic,togetic
176,177,2,Natu,It is extremely good at climbing tree trunks and likes to eat the new sprouts on the trees.,natu,natu
177,178,2,Xatu,They say that it stays still and quiet because it is seeing both the past and future at the same time.,xatu,xatu
178,179,2,Mareep,"Clothing made from Mareep’s fleece is easily charged with static electricity, so a special process is used on it.",mareep,mareep
179,180,2,Flaaffy,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch.",flaaffy,flaaffy
180,181,2,Ampharos,"The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off.",ampharos,ampharos
181,182,2,Bellossom,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",bellossom,bellossom
182,183,2,Marill,This Pokémon uses its round tail as a float. The ball of Marill’s tail is filled with nutrients that have been turned into an oil.,marill,marill
183,184,2,Azumarill,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes.",azumarill,azumarill
184,185,2,Sudowoodo,"If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain.",sudowoodo,sudowoodo
185,186,2,Politoed,"At nightfall, these Pokémon appear on the shores of lakes. They announce their territorial claims by letting out cries that sound like shouting.",politoed,politoed
186,187,2,Hoppip,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",hoppip,hoppip
187,188,2,Skiploom,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",skiploom,skiploom
188,189,2,Jumpluff,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,jumpluff,jumpluff
189,190,2,Aipom,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops.",aipom,aipom
190,191,2,Sunkern,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",sunkern,sunkern
191,192,2,Sunflora,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,sunflora,sunflora
192,193,2,Yanma,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,yanma,yanma
193,194,2,Wooper,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.,wooper,wooper
194,195,2,Quagsire,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.,quagsire,quagsire
195,196,2,Espeon,"By reading air currents, it can predict things such as the weather or its foe’s next move.",espeon,espeon
196,197,2,Umbreon,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.",umbreon,umbreon
197,198,2,Murkrow,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.,murkrow,murkrow
198,199,2,Slowking,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain.",slowking,slowking
199,200,2,Misdreavus,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking.",misdreavus,misdreavus
200,201,2,Unown,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",unown,unown
201,202,2,Wobbuffet,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.",wobbuffet,wobbuffet
202,203,2,Girafarig,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.",girafarig,girafarig
203,204,2,Pineco,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly.",pineco,pineco
204,205,2,Forretress,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex.",forretress,forretress
205,206,2,Dunsparce,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.,dunsparce,dunsparce
206,207,2,Gligar,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",gligar,gligar
207,208,2,Steelix,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like.",steelix,steelix
208,209,2,Snubbull,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.,snubbull,snubbull
209,210,2,Granbull,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might.",granbull,granbull
210,211,2,Qwilfish,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size.",qwilfish,qwilfish
211,212,2,Scizor,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.,scizor,scizor
212,213,2,Shuckle,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",shuckle,shuckle
213,214,2,Heracross,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.,heracross,heracross
214,215,2,Sneasel,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",sneasel,sneasel
215,216,2,Teddiursa,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,teddiursa,teddiursa
216,217,2,Ursaring,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",ursaring,ursaring
217,218,2,Slugma,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.",slugma,slugma
